Car,Location,Fuel,Transmission,Owner,ODO,Year,Age,Mileage,Engine,Power,Seats,CP,SP
Ford Figo Diesel ZXI,Chennai,Diesel,Manual,First,72000,2011,12,20.0,1399.0,68.0,5.0,0.0,2.9
Toyota Corolla Altis 1.4 DG,Ahmedabad,Diesel,Manual,First,52100,2012,11,21.43,1364.0,86.79,5.0,19.27,6.5
Hyundai Grand i10 1.2 Kappa Sportz,Jaipur,Petrol,Manual,First,10000,2018,5,18.9,1197.0,81.86,5.0,6.96,5.85
Jeep Compass 2.0 Limited 4X4,Coimbatore,Diesel,Manual,First,6261,2019,4,16.3,1956.0,170.0,5.0,26.95,23.91
Maruti Ignis 1.2 AMT Alpha,Coimbatore,Petrol,Automatic,First,3906,2019,4,20.89,1197.0,81.8,5.0,7.96,7.36
Toyota Fortuner 3.0 Diesel,Pune,Diesel,Manual,First,55960,2014,9,11.5,2982.0,171.0,7.0,0.0,17.25
Volkswagen Vento Diesel Highline,Jaipur,Diesel,Manual,First,144000,2013,10,20.54,1598.0,103.6,5.0,0.0,7.0
Toyota Innova Crysta 2.4 VX MT,Mumbai,Diesel,Manual,First,38000,2017,6,13.68,2393.0,147.8,7.0,23.06,17.65
Ford Figo Diesel Celebration Edition,Jaipur,Diesel,Manual,First,51000,2013,10,20.0,1399.0,68.1,5.0,0.0,2.5
Toyota Platinum Etios 1.4 GXD,Hyderabad,Diesel,Manual,First,150000,2015,8,23.59,1364.0,67.05,5.0,9.58,6.0
Mahindra Thar DI 4X4,Mumbai,Diesel,Manual,First,2500,2018,5,18.06,2523.0,63.0,7.0,0.0,8.25
Land Rover Range Rover HSE Dynamic,Kochi,Diesel,Automatic,First,41661,2018,5,12.7,2179.0,187.7,5.0,0.0,44.83
BMW 3 Series 320d Highline,Delhi,Diesel,Automatic,First,64000,2011,12,16.07,1995.0,181.0,5.0,0.0,10.5
Hyundai Accent GLS,Bangalore,Petrol,Manual,Second,80000,2008,15,13.2,1495.0,94.0,5.0,0.0,1.9
Maruti Celerio ZXI AT,Jaipur,Petrol,Automatic,Second,30000,2016,7,23.1,998.0,67.04,5.0,0.0,4.25
Jaguar XF 2.2 Litre Luxury,Chennai,Diesel,Automatic,Second,43000,2014,9,16.36,2179.0,187.7,5.0,0.0,26.5
Audi A6 2.7 TDI,Bangalore,Diesel,Automatic,Second,90000,2013,10,12.4,2698.0,179.5,5.0,0.0,22.5
Nissan Micra Diesel XV,Hyderabad,Diesel,Manual,First,123880,2011,12,23.08,1461.0,63.1,5.0,0.0,3.3
Honda Amaze S i-Vtech,Jaipur,Petrol,Manual,Second,42000,2015,8,18.0,1198.0,86.7,5.0,0.0,4.3
Renault Duster 85PS Diesel RxL Option,Chennai,Diesel,Manual,First,79824,2012,11,19.87,1461.0,83.8,5.0,0.0,5.25
Toyota Innova 2.5 G (Diesel) 8 Seater,Jaipur,Diesel,Manual,First,75000,2015,8,12.99,2494.0,100.6,8.0,0.0,11.75
Honda Amaze E i-Vtech,Ahmedabad,Petrol,Manual,First,72411,2014,9,18.0,1198.0,86.7,5.0,0.0,4.25
Mercedes-Benz New C-Class C 250 CDI Elegance,Delhi,Diesel,Automatic,First,63000,2012,11,14.94,2143.0,204.0,5.0,0.0,14.22
Toyota Etios Liva G,Chennai,Petrol,Manual,First,53713,2015,8,17.71,1197.0,78.9,5.0,0.0,4.2
Toyota Innova Crysta 2.8 GX AT 8S,Delhi,Diesel,Automatic,First,18000,2017,6,11.36,2755.0,171.5,8.0,20.8,18.25
Mercedes-Benz New C-Class 200 CDI Elegance,Bangalore,Diesel,Manual,First,51000,2013,10,15.8,2148.0,170.0,5.0,0.0,18.5
Maruti Swift VXI BSIII,Chennai,Petrol,Manual,Second,86700,2008,15,16.1,1298.0,88.2,5.0,0.0,2.4
Maruti Baleno Alpha 1.3,Kolkata,Diesel,Manual,First,29000,2016,7,27.39,1248.0,74.0,5.0,0.0,6.5
Maruti Celerio VXI AT,Mumbai,Petrol,Automatic,First,33000,2015,8,23.1,998.0,67.04,5.0,0.0,3.99
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,Diesel,Manual,First,64394,2014,9,22.7,1498.0,89.84,5.0,0.0,5.45
Tata Manza Aura Quadrajet,Hyderabad,Diesel,Manual,First,76000,2010,13,18.8,1248.0,90.0,5.0,0.0,2.7
Honda Jazz 1.5 SV i DTEC,Mumbai,Diesel,Manual,First,48719,2016,7,27.3,1498.0,98.6,5.0,0.0,6.25
Mahindra XUV500 W8 2WD,Coimbatore,Diesel,Manual,First,59711,2016,7,15.1,2179.0,140.0,7.0,0.0,13.28
Nissan Micra Diesel XV Premium,Hyderabad,Diesel,Manual,First,83000,2012,11,23.08,1461.0,63.1,5.0,0.0,3.7
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,Diesel,Automatic,First,10714,2018,5,19.27,2143.0,167.62,5.0,0.0,39.51
Tata Manza Aura Plus Quadrajet BS IV,Hyderabad,Diesel,Manual,Second,127510,2010,13,19.0,1248.0,90.0,5.0,0.0,1.4
Maruti Swift VDI,Kolkata,Diesel,Manual,First,35010,2014,9,22.9,1248.0,74.0,5.0,0.0,3.5
Maruti Swift Dzire 1.2 Lxi BSIV,Jaipur,Petrol,Manual,First,75451,2012,11,17.5,1197.0,85.8,5.0,0.0,3.78
Tata Indigo eCS LS (TDI) BS-III,Pune,Diesel,Manual,First,83000,2015,8,19.09,1405.0,69.01,5.0,0.0,2.7
Honda Amaze S i-Dtech,Kolkata,Diesel,Manual,First,38755,2013,10,25.8,1498.0,98.6,5.0,0.0,3.2
Maruti Swift VXI BSIV,Delhi,Petrol,Manual,First,30000,2016,7,20.4,1197.0,81.8,5.0,0.0,5.0
Maruti Ertiga ZDI,Chennai,Diesel,Manual,First,40000,2012,11,20.77,1248.0,88.8,7.0,0.0,7.0
Hyundai Grand i10 Era,Kolkata,Petrol,Manual,Second,19500,2014,9,18.9,1197.0,82.0,5.0,0.0,2.85
Nissan Micra Active XV,Ahmedabad,Petrol,Manual,First,41000,2016,7,19.69,1198.0,67.04,5.0,6.78,4.25
Hyundai Grand i10 Asta Option,Bangalore,Petrol,Manual,Second,30000,2014,9,18.9,1197.0,82.0,5.0,0.0,4.9
Jeep Compass 2.0 Sport,Hyderabad,Diesel,Manual,First,37000,2017,6,17.1,1956.0,170.0,5.0,19.91,16.9
Volkswagen Polo Diesel Comfortline 1.2L,Delhi,Diesel,Manual,Second,62000,2014,9,22.07,1199.0,73.9,5.0,0.0,4.25
Honda Amaze S AT i-Vtech,Pune,Petrol,Automatic,First,42023,2015,8,15.5,1198.0,86.7,5.0,0.0,4.34
BMW X3 xDrive20d Advantage Edition,Kolkata,Diesel,Automatic,First,51001,2012,11,16.09,1995.0,184.0,5.0,0.0,17.0
BMW 3 Series 320d Luxury Line,Kochi,Diesel,Automatic,First,55389,2017,6,18.88,1995.0,184.0,5.0,0.0,28.45
Honda City V AT,Kochi,Petrol,Automatic,First,46728,2014,9,15.6,1497.0,116.3,5.0,0.0,6.15
Mahindra Ssangyong Rexton RX5,Kochi,Diesel,Manual,First,58995,2014,9,12.83,2696.0,162.0,7.0,0.0,9.25
Maruti Swift Dzire LDI,Delhi,Diesel,Manual,First,37857,2015,8,26.59,1248.0,74.0,5.0,0.0,4.85
Maruti Swift VDI BSIV,Jaipur,Diesel,Manual,First,71000,2014,9,25.2,1248.0,74.0,5.0,0.0,4.8
Honda Brio S Option MT,Pune,Petrol,Manual,First,49024,2012,11,18.4,1198.0,86.8,5.0,0.0,2.3
Hyundai Grand i10 Sportz,Mumbai,Petrol,Manual,First,10770,2016,7,18.9,1197.0,82.0,5.0,0.0,4.75
Tata Zest Quadrajet 1.3 75PS XM,Pune,Diesel,Manual,First,72000,2017,6,22.95,1248.0,74.0,5.0,8.93,5.0
Hyundai EON Era Plus,Jaipur,Petrol,Manual,First,91000,2015,8,21.1,814.0,55.2,5.0,0.0,2.5
Hyundai i20 1.2 Spotz,Mumbai,Petrol,Manual,First,14000,2017,6,18.6,1197.0,81.83,5.0,0.0,5.95
Volvo S60 D4 KINETIC,Delhi,Diesel,Automatic,Second,48000,2014,9,9.0,1984.0,181.0,5.0,0.0,16.0
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,Diesel,Manual,First,75136,2014,9,22.7,1498.0,89.84,5.0,0.0,6.15
Maruti Ritz VXI,Hyderabad,Petrol,Manual,Second,32500,2014,9,21.1,1197.0,85.8,5.0,0.0,4.05
Hyundai i20 1.4 CRDi Magna,Hyderabad,Diesel,Manual,Second,94500,2010,13,21.9,1396.0,90.0,5.0,0.0,3.1
Maruti Dzire VXI,Hyderabad,Petrol,Manual,First,34900,2013,10,22.0,1197.0,81.8,5.0,7.97,5.49
Porsche Panamera 2010 2013 4S,Coimbatore,Petrol,Automatic,Third,42400,2010,13,8.0,4806.0,394.3,4.0,0.0,42.91
Maruti Swift VDi BSIII W/ ABS,Jaipur,Diesel,Manual,First,50000,2015,8,17.8,1248.0,75.0,5.0,0.0,5.7
Honda Brio S MT,Kolkata,Petrol,Manual,First,35000,2014,9,19.4,1198.0,86.8,5.0,0.0,2.85
Chevrolet Beat LS,Bangalore,Petrol,Manual,Second,37000,2012,11,18.6,1199.0,79.4,5.0,0.0,2.35
Hyundai Creta 1.6 SX Plus Petrol Automatic,Coimbatore,Petrol,Automatic,First,32807,2018,5,13.0,1591.0,121.3,5.0,0.0,14.76
Honda City ZX GXi,Pune,Petrol,Manual,Second,119000,2008,15,17.7,1497.0,78.0,5.0,0.0,2.25
Maruti Ritz LXi,Mumbai,Petrol,Manual,First,12000,2016,7,18.5,1197.0,85.8,5.0,0.0,3.65
Ford EcoSport 1.5 TDCi Trend,Delhi,Diesel,Manual,First,46727,2016,7,22.77,1498.0,98.59,5.0,0.0,7.25
BMW 3 Series 320d,Hyderabad,Diesel,Automatic,First,73336,2010,13,13.2,1995.0,170.0,5.0,0.0,10.69
Hyundai Verna 1.6 SX VTVT,Mumbai,Petrol,Manual,Second,9000,2014,9,17.01,1591.0,121.3,5.0,0.0,5.5
Toyota Innova 2.5 G4 Diesel 8-seater,Chennai,Diesel,Manual,Fourth & Above,240000,2005,18,12.8,2494.0,102.0,8.0,0.0,5.1
Maruti Wagon R LXI,Mumbai,Petrol,Manual,First,25422,2014,9,22.5,998.0,67.04,5.0,5.04,3.25
Maruti Ertiga VDI,Mumbai,Diesel,Manual,First,14000,2018,5,25.47,1248.0,88.5,7.0,11.66,9.25
Maruti Alto LXi BSIII,Hyderabad,Petrol,Manual,First,66000,2008,15,19.7,796.0,46.3,5.0,0.0,1.7
Maruti A-Star Vxi,Kochi,Petrol,Manual,First,55324,2010,13,19.0,998.0,66.1,5.0,0.0,2.87
BMW X5 3.0d,Bangalore,Diesel,Automatic,First,90000,2009,14,11.0,2993.0,235.0,5.0,0.0,17.75
Mahindra KUV 100 G80 K6 Plus 5Str,Kolkata,Petrol,Manual,First,43000,2017,6,18.15,1198.0,82.0,5.0,7.35,4.5
Hyundai i10 Magna AT,Bangalore,Petrol,Automatic,Second,58483,2008,15,19.2,1197.0,80.0,5.0,0.0,2.95
Honda Civic 2006-2010 1.8 S AT,Pune,Petrol,Automatic,Second,93000,2007,16,12.9,1799.0,130.0,5.0,0.0,2.6
Hyundai i10 Sportz 1.2,Hyderabad,Petrol,Manual,First,50000,2010,13,20.36,1197.0,78.9,5.0,0.0,3.0
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Ahmedabad,Diesel,Automatic,Second,78616,2014,9,14.84,2143.0,170.0,5.0,0.0,15.5
Toyota Etios G,Pune,Petrol,Manual,First,37000,2011,12,17.6,1496.0,88.73,5.0,0.0,2.8
Honda City 1.5 E MT,Kolkata,Petrol,Manual,First,54801,2010,13,17.0,1497.0,118.0,5.0,0.0,2.5
Maruti Swift Dzire VDI,Bangalore,Diesel,Manual,First,29000,2014,9,23.4,1248.0,74.0,5.0,0.0,5.75
Maruti Swift VXI,Pune,Petrol,Manual,First,68000,2010,13,22.0,1197.0,81.8,5.0,6.99,2.8
Hyundai Verna 1.6 EX VTVT,Kolkata,Petrol,Manual,First,58000,2014,9,17.01,1591.0,121.3,5.0,0.0,4.59
Maruti Ritz VDi,Pune,Diesel,Manual,First,64290,2012,11,23.2,1248.0,73.94,5.0,0.0,3.65
Toyota Fortuner 4x2 Manual,Mumbai,Diesel,Manual,First,31000,2015,8,13.0,2982.0,168.5,7.0,0.0,19.85
Jeep Compass 2.0 Limited,Pune,Diesel,Manual,First,16039,2018,5,17.1,1956.0,170.0,5.0,23.89,18.5
Hyundai i20 Asta Option 1.2,Hyderabad,Petrol,Manual,First,19860,2017,6,18.6,1197.0,81.83,5.0,0.0,6.95
Tata New Safari DICOR 2.2 EX 4x4 BS IV,Jaipur,Diesel,Manual,First,75391,2012,11,13.93,2179.0,138.0,7.0,0.0,3.75
Maruti Swift Dzire LDi,Jaipur,Diesel,Manual,Second,78000,2008,15,19.3,1248.0,73.9,5.0,0.0,2.3
Tata Indigo eCS eLS BS IV,Kolkata,Diesel,Manual,First,78000,2016,7,25.0,1396.0,69.01,5.0,0.0,2.3
Maruti Swift LDI,Hyderabad,Diesel,Manual,First,52000,2016,7,28.4,1248.0,74.0,5.0,7.27,5.95
Maruti Celerio VXI AT,Kolkata,Petrol,Automatic,First,30000,2016,7,23.1,998.0,67.04,5.0,0.0,3.49
BMW 5 Series 2013-2017 530d M Sport,Coimbatore,Diesel,Automatic,First,19254,2016,7,14.69,2993.0,258.0,5.0,0.0,47.7
Volkswagen Polo 1.2 MPI Highline,Coimbatore,Petrol,Manual,First,29651,2015,8,16.47,1198.0,74.0,5.0,0.0,6.43
Tata Safari DICOR 2.2 LX 4x2,Bangalore,Diesel,Manual,First,80000,2011,12,13.93,2179.0,138.03,7.0,0.0,4.5
Mini Cooper S Carbon Edition,Kolkata,Petrol,Automatic,First,2971,2018,5,13.6,1598.0,181.0,4.0,0.0,39.75
Ford Figo Petrol Titanium,Kolkata,Petrol,Manual,First,21400,2015,8,15.6,1196.0,70.0,5.0,0.0,4.0
Honda City i DTEC V,Ahmedabad,Diesel,Manual,First,77000,2015,8,26.0,1498.0,98.6,5.0,0.0,6.98
Hyundai Tucson CRDi,Delhi,Diesel,Manual,Second,80000,2006,17,12.6,1991.0,112.0,7.0,0.0,1.75
Skoda Laura Ambiente 2.0 TDI CR MT,Delhi,Diesel,Manual,First,81755,2013,10,20.0,1968.0,108.5,5.0,0.0,4.75
Toyota Fortuner 3.0 Diesel,Hyderabad,Diesel,Manual,First,99593,2016,7,11.5,2982.0,171.0,7.0,0.0,23.5
Hyundai Verna 1.6 SX,Hyderabad,Diesel,Manual,First,39791,2014,9,22.32,1582.0,126.32,5.0,0.0,7.49
Mahindra XUV500 W6 2WD,Hyderabad,Diesel,Manual,First,113000,2015,8,15.1,2179.0,140.0,7.0,0.0,10.85
Renault KWID RXT,Mumbai,Petrol,Manual,First,24000,2017,6,25.17,799.0,53.3,5.0,0.0,3.5
Hyundai i20 Asta 1.2,Bangalore,Petrol,Manual,Second,39000,2015,8,18.6,1197.0,81.83,5.0,0.0,6.3
Honda City V AT,Bangalore,Petrol,Automatic,First,37000,2012,11,15.6,1497.0,116.3,5.0,0.0,6.75
Ford Endeavour 3.2 Titanium AT 4X4,Coimbatore,Diesel,Automatic,First,61108,2017,6,10.91,3198.0,197.0,7.0,0.0,28.88
Skoda Superb Elegance 1.8 TSI AT,Kochi,Petrol,Automatic,First,61648,2016,7,13.7,1798.0,157.75,5.0,0.0,14.23
BMW 3 Series 320d Sport,Mumbai,Diesel,Automatic,Third,37000,2012,11,22.69,1995.0,190.0,5.0,0.0,15.0
Maruti Ritz LDi,Jaipur,Diesel,Manual,First,65000,2013,10,23.2,1248.0,73.94,5.0,0.0,3.75
Toyota Fortuner 3.0 Diesel,Jaipur,Diesel,Manual,Second,148009,2011,12,11.5,2982.0,171.0,7.0,0.0,12.75
Maruti Swift Lxi BSIII,Mumbai,Petrol,Manual,First,53001,2009,14,16.1,1298.0,88.2,5.0,0.0,1.95
Tata Tigor 1.2 Revotron XT,Mumbai,Petrol,Manual,First,22345,2018,5,20.3,1199.0,84.0,5.0,0.0,4.95
Honda City i VTEC CVT VX,Delhi,Petrol,Automatic,First,50000,2015,8,18.0,1497.0,117.3,5.0,0.0,8.25
BMW 3 Series 320d,Hyderabad,Diesel,Automatic,First,48183,2013,10,13.2,1995.0,170.0,5.0,0.0,20.99
Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency,Hyderabad,Diesel,Automatic,Second,93000,2010,13,14.21,2143.0,203.0,5.0,0.0,17.5
Maruti Swift VDI,Kochi,Diesel,Manual,First,53500,2015,8,28.4,1248.0,74.0,5.0,7.88,5.36
Maruti Ertiga VXI,Delhi,Petrol,Manual,First,17585,2014,9,16.02,1373.0,93.7,7.0,0.0,6.35
Hyundai Verna 1.6 VTVT,Kolkata,Petrol,Manual,First,36226,2011,12,17.01,1591.0,121.3,5.0,0.0,2.95
Land Rover Discovery Sport TD4 HSE,Coimbatore,Diesel,Automatic,First,25899,2019,4,12.63,2179.0,147.5,5.0,0.0,55.7
Hyundai Santro Xing GL,Kolkata,Petrol,Manual,First,60170,2009,14,0.0,1086.0,62.0,5.0,0.0,1.15
Mercedes-Benz New C-Class C 220 CDI Style,Hyderabad,Diesel,Automatic,First,11200,2017,6,19.27,2143.0,167.62,5.0,0.0,37.5
Hyundai i10 Magna 1.2,Kochi,Petrol,Manual,First,49045,2017,6,20.36,1197.0,78.9,5.0,0.0,4.07
Volkswagen Polo Diesel Comfortline 1.2L,Kolkata,Diesel,Manual,First,45000,2012,11,22.07,1199.0,73.9,5.0,0.0,2.99
Maruti Vitara Brezza VDi Option,Delhi,Diesel,Manual,First,40000,2017,6,24.3,1248.0,88.5,5.0,0.0,7.9
Renault Duster 85PS Diesel RxL,Mumbai,Diesel,Manual,First,36600,2016,7,19.87,1461.0,83.8,5.0,0.0,7.49
Tata Indica Vista Aqua 1.3 Quadrajet,Jaipur,Diesel,Manual,First,117000,2009,14,18.0,1248.0,75.0,5.0,0.0,1.1
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Delhi,Diesel,Automatic,First,16000,2016,7,11.3,2987.0,254.8,7.0,0.0,56.0
Hyundai Xcent 1.2 CRDi S,Mumbai,Diesel,Manual,First,50000,2016,7,25.4,1186.0,73.97,5.0,8.84,3.5
Hyundai Verna CRDi SX ABS,Hyderabad,Diesel,Manual,First,150000,2008,15,18.1,1493.0,110.0,5.0,0.0,3.0
Hyundai Verna 1.6 SX VTVT,Mumbai,Petrol,Manual,First,11000,2014,9,17.01,1591.0,121.3,5.0,0.0,6.1
Ford Figo Petrol ZXI,Bangalore,Petrol,Manual,First,102016,2010,13,15.6,1196.0,70.0,5.0,0.0,2.25
Maruti Swift VDI Optional,Chennai,Diesel,Manual,First,38000,2016,7,25.2,1248.0,74.0,5.0,0.0,5.95
Renault Pulse RxL,Hyderabad,Diesel,Manual,First,71491,2013,10,23.08,1461.0,63.12,5.0,0.0,4.95
Volkswagen Polo 1.2 MPI Highline,Bangalore,Petrol,Manual,Second,46354,2015,8,16.47,1198.0,74.0,5.0,0.0,5.49
BMW 3 Series 320d Luxury Line,Delhi,Diesel,Automatic,First,87000,2019,4,22.69,1995.0,190.0,5.0,52.46,6.67
Skoda Rapid 1.6 MPI Active,Ahmedabad,Petrol,Manual,First,20765,2015,8,15.0,1598.0,103.52,5.0,0.0,6.25
Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,Diesel,Automatic,First,51076,2014,9,12.07,2967.0,241.4,7.0,0.0,34.88
Maruti Ciaz VDi Plus,Jaipur,Diesel,Manual,First,84085,2016,7,26.21,1248.0,88.5,5.0,0.0,6.9
Honda City i DTEC VX,Kolkata,Diesel,Manual,First,55000,2014,9,25.1,1498.0,98.6,5.0,0.0,5.99
Mercedes-Benz E-Class 2009-2013 E350 Petrol,Mumbai,Petrol,Automatic,First,73000,2010,13,10.93,3498.0,272.0,5.0,0.0,10.4
Audi A6 2011-2015 3.0 TDI Quattro Premium Plus,Pune,Diesel,Automatic,First,50001,2012,11,14.57,2967.0,241.38,5.0,0.0,29.0
Mahindra Xylo H4,Coimbatore,Diesel,Manual,Second,93166,2016,7,14.02,2179.0,118.3,7.0,11.67,5.85
Honda City 1.5 EXI AT,Kochi,Petrol,Automatic,Third,99583,2006,17,12.0,1493.0,100.0,5.0,0.0,2.21
Maruti SX4 ZXI MT BSIV,Mumbai,Petrol,Manual,First,72000,2010,13,15.5,1586.0,103.3,5.0,0.0,2.4
Toyota Corolla Altis G,Pune,Petrol,Manual,Third,70000,2009,14,14.53,1798.0,138.1,5.0,0.0,3.0
Volkswagen Vento Petrol Highline AT,Pune,Petrol,Automatic,Second,61000,2012,11,14.4,1598.0,103.6,5.0,0.0,3.75
Hyundai EON Era Plus,Pune,Petrol,Manual,First,66510,2015,8,21.1,814.0,55.2,5.0,0.0,2.95
Skoda Laura Ambition 2.0 TDI CR MT,Hyderabad,Diesel,Manual,First,84062,2011,12,20.0,1968.0,108.5,5.0,0.0,5.8
Maruti Swift VDI,Hyderabad,Diesel,Manual,First,80799,2012,11,22.9,1248.0,74.0,5.0,0.0,4.9
Toyota Corolla Altis 1.8 VL CVT,Kolkata,Petrol,Automatic,First,5000,2018,5,14.28,1798.0,138.03,5.0,22.37,16.95
Toyota Innova 2.5 G (Diesel) 8 Seater,Hyderabad,Diesel,Manual,First,92000,2013,10,12.99,2494.0,100.0,8.0,0.0,12.5
Tata Tiago Wizz 1.05 Revotorq,Hyderabad,Diesel,Manual,First,53000,2017,6,27.28,1047.0,69.0,5.0,0.0,5.0
Skoda Rapid 1.6 MPI Ambition,Mumbai,Petrol,Manual,First,39822,2015,8,15.41,1598.0,103.52,5.0,12.02,4.68
Ford Endeavour 3.2 Titanium AT 4X4,Mumbai,Diesel,Automatic,First,29000,2016,7,10.91,3198.0,197.0,7.0,0.0,29.8
Renault KWID RXL,Kochi,Petrol,Manual,Second,24214,2017,6,25.17,799.0,53.3,5.0,3.95,3.46
Hyundai i20 1.4 Asta CRDi with AVN,Pune,Diesel,Manual,First,75000,2012,11,23.0,1396.0,90.0,5.0,0.0,4.0
Skoda Laura Ambiente,Chennai,Diesel,Manual,Second,77216,2012,11,17.5,1896.0,106.0,5.0,0.0,4.5
Toyota Corolla Altis Diesel D4DG,Kochi,Diesel,Manual,First,74290,2013,10,21.43,1364.0,87.2,5.0,0.0,5.87
Mahindra Scorpio S8 8 Seater,Delhi,Diesel,Manual,First,61000,2015,8,15.4,2179.0,120.0,8.0,0.0,9.5
Audi Q5 2.0 TDI Premium Plus,Chennai,Diesel,Automatic,First,44000,2013,10,14.16,1968.0,174.3,5.0,0.0,32.5
Chevrolet Enjoy TCDi LS 8 Seater,Coimbatore,Diesel,Manual,First,74041,2014,9,18.2,1248.0,73.8,8.0,0.0,3.88
BMW 3 Series 320d,Coimbatore,Diesel,Automatic,First,85846,2013,10,22.69,1995.0,190.0,5.0,48.79,13.08
Nissan Sunny 2011-2014 Diesel XV,Delhi,Diesel,Manual,First,52000,2012,11,21.64,1461.0,84.8,5.0,0.0,3.5
Honda Accord 2.4 MT,Mumbai,Petrol,Manual,Second,47000,2010,13,12.8,2354.0,177.6,5.0,0.0,3.5
Hyundai Verna CRDi,Bangalore,Diesel,Manual,First,72010,2010,13,16.8,1493.0,110.0,5.0,0.0,4.45
Maruti Omni E MPI STD BS IV,Jaipur,Petrol,Manual,First,15000,2015,8,16.8,796.0,34.2,8.0,0.0,2.35
Honda City i VTEC SV,Kolkata,Petrol,Manual,First,480000,2015,8,17.4,1497.0,117.3,5.0,0.0,5.0
Audi A7 2011-2015 Sportback,Kolkata,Diesel,Automatic,Second,24720,2012,11,0.0,2967.0,241.4,5.0,0.0,28.0
Ford Fiesta 1.4 ZXi Leather,Chennai,Petrol,Manual,Second,75000,2007,16,16.6,1388.0,68.0,5.0,0.0,2.0
Hyundai i20 1.4 Asta,Mumbai,Diesel,Manual,First,57000,2015,8,22.54,1396.0,88.73,5.0,0.0,6.35
Mercedes-Benz E-Class E250 CDI Avantgrade,Kochi,Diesel,Automatic,First,41057,2015,8,13.0,2143.0,201.1,5.0,0.0,24.63
Ford EcoSport 1.5 TDCi Trend Plus,Chennai,Diesel,Manual,First,20000,2016,7,22.77,1498.0,98.59,5.0,0.0,7.9
Hyundai i20 1.2 Magna,Mumbai,Petrol,Manual,First,52359,2011,12,18.5,1197.0,80.0,5.0,0.0,3.25
Honda City i VTEC V,Delhi,Petrol,Manual,Second,17000,2016,7,17.8,1497.0,117.3,5.0,0.0,8.25
Nissan Micra Diesel XV,Kolkata,Diesel,Manual,First,39002,2011,12,23.08,1461.0,63.1,5.0,0.0,2.85
Ford Figo Diesel EXI,Pune,Diesel,Manual,Second,129986,2010,13,20.0,1399.0,68.0,5.0,0.0,3.2
Nissan Micra XL,Kolkata,Petrol,Manual,First,45000,2013,10,18.44,1198.0,75.0,5.0,0.0,1.75
Honda Accord 2.4 MT,Ahmedabad,Petrol,Manual,Second,82002,2009,14,12.8,2354.0,177.6,5.0,0.0,5.75
Skoda Superb Elegance 1.8 TSI AT,Mumbai,Petrol,Automatic,First,67000,2010,13,13.7,1798.0,157.75,5.0,0.0,4.7
Maruti Omni 8 Seater BSIV,Hyderabad,Petrol,Manual,First,21260,2017,6,14.0,796.0,35.0,5.0,0.0,2.9
Hyundai i20 Magna Optional 1.4 CRDi,Ahmedabad,Diesel,Manual,First,55362,2012,11,21.9,1396.0,88.8,5.0,0.0,4.25
Hyundai Creta 1.6 CRDi AT SX Plus,Chennai,Diesel,Automatic,First,13000,2017,6,17.01,1582.0,126.2,5.0,0.0,14.5
Maruti Swift VDI BSIV,Kochi,Diesel,Manual,First,45725,2016,7,25.2,1248.0,74.0,5.0,0.0,5.34
Maruti Swift LDI BSIV,Jaipur,Diesel,Manual,First,105000,2014,9,25.2,1248.0,74.0,5.0,0.0,3.85
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Hyderabad,Diesel,Manual,First,156056,2009,14,12.8,2494.0,102.0,8.0,0.0,8.5
Hyundai Xcent 1.1 CRDi Base,Mumbai,Diesel,Manual,First,135000,2016,7,24.4,1120.0,71.0,5.0,0.0,4.2
Maruti Ertiga Paseo VDI,Delhi,Diesel,Manual,First,67000,2016,7,20.77,1248.0,88.7,7.0,0.0,6.75
Ford Endeavour 3.2 Trend AT 4X4,Jaipur,Diesel,Automatic,First,90000,2016,7,10.91,3198.0,197.2,7.0,0.0,26.0
Hyundai i20 1.4 Sportz,Coimbatore,Diesel,Manual,First,32251,2019,4,22.54,1396.0,88.73,5.0,0.0,8.61
Maruti Zen Estilo LXI BS IV,Mumbai,Petrol,Manual,First,47000,2009,14,19.0,998.0,67.1,5.0,0.0,1.46
Maruti Ritz VDi,Mumbai,Diesel,Manual,Second,75308,2011,12,21.1,1248.0,73.9,5.0,0.0,2.8
Honda City 1.5 S MT,Mumbai,Petrol,Manual,First,58000,2014,9,17.0,1497.0,118.0,5.0,0.0,5.47
Maruti Swift Dzire ZXi,Mumbai,Petrol,Manual,First,60000,2009,14,17.5,1298.0,85.8,5.0,0.0,2.45
BMW X1 sDrive 20d Sportline,Hyderabad,Diesel,Automatic,First,45000,2014,9,17.05,1995.0,184.0,5.0,0.0,21.5
Tata Manza Aqua Safire,Mumbai,Petrol,Manual,First,41195,2010,13,15.0,1368.0,90.0,5.0,0.0,1.38
Mahindra XUV500 W10 2WD,Chennai,Diesel,Manual,First,89000,2016,7,16.0,2179.0,140.0,7.0,0.0,13.5
Hyundai i10 Sportz AT,Bangalore,Petrol,Automatic,Second,60510,2009,14,16.95,1197.0,78.9,5.0,0.0,3.1
